area|publico_alvo|SERVIÇO|DESCRIÇÃO|LINK  PARA MATERIAL REFERENTE (quando o conteúdo já existe no site MTE)|Link 2|Link 3|LINK SITES - DENUNCIA E/OU CADASTRAMENTO (quando possuir)|EMAIL - PARA SOLICITAÇÕES  (quando possuir)|TELEFONE - DENUNCIA E/OU INFORMAÇÃO (quando possuir)
CGUD|justiça|Judiciário - Solicitar Vínculos RAIS e CAGED|Serviço é destinado aos Tribunais de Justiça, por intermédio de servidores das Varas ou Secretarias e Defensoria Pública, para que possam solicitar os vínculos empregatícios, solicitação de endereço do empregador do vínculo mais recente declarado na RAIS ou CAGED, ou relatório completo da RAIS do estabelecimento.|https://atendimento.trabalho.gov.br|https://www.gov.br/pt-br/servicos/solicitar-vinculos-empregaticios-da-rais  |https://www.gov.br/pt-br/servicos/solicitar-vinculos-empregaticios-do-caged|||
CGUD|justiça|Judiciário - Solicitar alterações nos bancos de dados RAIS e CAGED|Serviço é destinado aos Tribunais de Justiça, por intermédio de servidores das Varas ou Secretarias e Defensoria Pública para solicitar alteração (inclusão, retificação e exclusão) nos bancos de dados da RAIS e CAGED, referente aos vínculos empregatícios.|https://atendimento.trabalho.gov.br |||||
