area|publico_alvo|SERVIÇO|DESCRIÇÃO|LINK  PARA MATERIAL REFERENTE (quando o conteúdo já existe no site MTE)|LINK SITES - DENUNCIA E/OU CADASTRAMENTO (quando possuir)|EMAIL - PARA SOLICITAÇÕES  (quando possuir)|TELEFONE - DENUNCIA E/OU INFORMAÇÃO (quando possuir)
ENIT|empregadores|Canal da ENIT no Youtube|No canal são publicados videoaulas, transmitidos eventos e lives com informações sobre diversos assuntos úteis aos empregadores|https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/inspecao-do-trabalho/escola|https://www.youtube.com/@ENIT-ESCOLA||
ENIT|empregadores|Portal de cursos da SIT|No portal são publicados cursos sobre matérias trabalhistas que contêm informações importantes para empregadores, além de permitir a emissão de certificados de eventos transmitidos no canal do Youtube da ENIT|https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/inspecao-do-trabalho/escola|https://ead.sit.trabalho.gov.br/||
